label,message,clean_message,label_num
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still clear sure sarcastic thats x doesnt want live u,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer,0
ham,K tell me anything about you.,k tell anything,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timing msg xuhui going learn nd may lesson,0
ham,"Oops, I'll let you know when my roommate's done",oops ill let know roommate done,0
ham,I see the letter B on my car,see letter b car,0
ham,Anything lor... U decide...,anything lor u decide,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows saturday go texting see youd decided anything tomo im trying invite anything,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watt wanted sure great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,1
ham,WHO ARE YOU SEEING?,seeing,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed ltgt inch,0
ham,No calls..messages..missed calls,callsmessagesmissed call,0
ham,Didn't you get hep b immunisation in nigeria.,didnt get hep b immunisation nigeria,0
ham,"Fair enough, anything going on?",fair enough anything going,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler cant could maybe ask around bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker,0
ham,What you thinked about me. First time you saw me in class.,thinked first time saw class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning he crashing place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lturlgt,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss,1
ham,"Sorry, I'll call later in meeting.",sorry ill call later meeting,0
ham,Tell where you reached,tell reached,0
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi series,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick burger way home cant even move pain killing,0
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker,0
ham,Its a part of checking IQ,part checking iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate took forever ok come,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded bonus prize call,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song u dedicate send ur valuable frnds first rply,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt l aj,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie come ken stuff,1
ham,I plane to give on this month end.,plane give month end,0
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,0
ham,Finished class where are you.,finished class,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wanna something xx,0
ham,K..k:)where are you?how did you performed?,kkwhere youhow performed,0
ham,U can call me now...,u call,0
ham,I am waiting machan. Call me once you free.,waiting machan call free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect,0
ham,I like you peoples very much:) but am very shy pa.,like people much shy pa,0
ham,Does not operate after  &lt;#&gt;  or what,operate ltgt,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much ta earn,0
ham,"Sorry, I'll call later",sorry ill call later,0
ham,K. Did you call me just now ah? ,k call ah,0
ham,Ok i am on the way to home hi hi,ok way home hi hi,0
ham,You will be in the place of that man,place man,0
ham,Yup next stop.,yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",call later dont network urgnt sm,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u getting yo need ticket one jacket im done already used multis,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send request make pain came back im back bed double coin factory gotta cash nitros,0
ham,I'm really not up to it still tonight babe,im really still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free,0
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah dont stand close tho youll catch something,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative ampm guaranteed cash prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got show e afternoon u finish work already,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone waiting collected simply text password mix verify get usher britney fml,1
ham,Watching telugu movie..wat abt u?,watching telugu moviewat abt u,0
ham,i see. When we finish we have loads of loans to pay,see finish load loan pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham,0
ham,Please don't text me anymore. I have nothing else to say.,please dont text anymore nothing else say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,im still looking car buy gone driving test yet,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,0
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wish birthday thanks making birthday truly memorable,0
ham,"Aight, I'll hit you up when I get some cash",aight ill hit get cash,0
ham,How would my ip address test that considering my computer isn't a minecraft server,would ip address test considering computer isnt minecraft server,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better lying always one play joke,0
ham,Dont worry. I guess he's busy.,dont worry guess he busy,0
ham,What is the plural of the noun research?,plural noun research,0
ham,Going for dinner.msg you after.,going dinnermsg,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,im ok wif co like try new thing scared u dun like mah co u said loud,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm,1
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went,0
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u specially selected receive holiday flight inc speak live operator claim pmin,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday eggpotato ratio tortilla needed,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmmmy uncle informed he paying school directly pls buy food,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private account statement show unredeemed bonus point claim call identifier code expires,1
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm,1
ham,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number ending selected receive award match please call quoting claim code standard rate app,1
ham,I am going to sao mu today. Will be done only at 12 ,going sao mu today done,0
ham,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time finish buying,0
ham,"Good stuff, will do.",good stuff,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,0
ham,Are you there in room.,room,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
ham,K..k:)how much does it cost?,kkhow much cost,0
ham,I'm home.,im home,0
ham,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrowpls accomodate,0
ham,First answer my question.,first answer question,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone,1
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt eca pmsgp,1
ham,I only haf msn. It's yijue@hotmail.com,haf msn yijuehotmailcom,0
ham,He is there. You call and meet him,call meet,0
ham,No no. I will check all rooms befor activities,check room befor activity,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,youll rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try,1
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c lazy type forgot lect saw pouch like v nice,0
ham,"K, text me when you're on the way",k text youre way,0
ham,"Sir, Waiting for your mail.",sir waiting mail,0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni,0
ham,I know you are. Can you pls open the back?,know pls open back,0
ham,Yes see ya not on the dot,yes see ya dot,0
ham,Whats the staff name who is taking class for us?,whats staff name taking class u,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,1
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawill call check inour life begin qatar pls pray hard,0
ham,K..i deleted my contact that why?,ki deleted contact,0
ham,Sindu got job in birla soft ..,sindu got job birla soft,0
ham,The wine is flowing and i'm i have nevering..,wine flowing im nevering,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need go plaza mah,0
ham,Ok... Ur typical reply...,ok ur typical reply,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one,0
ham,Aaooooright are you at work?,aaooooright work,0
ham,I'm leaving my house now...,im leaving house,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happy good boy think meare missing,0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement new year delivery waiting please call arrange delivery,1
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u specially selected receive cash holiday flight inc speak live operator claim,1
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss already envy everyone see real life,0
ham,New car and house for my parents.:)i have only new job in hand:),new car house parentsi new job hand,0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,im love im excited day spend make happy,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious f inviting friend reply yes see stop send stop frnd,1
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu,1
ham,I place all ur points on e cultures module already.,place ur point e culture module already,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr,1
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstding wit beloved one,0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge need lager see tomo,0
ham,Yes :)it completely in out of form:)clark also utter waste.,yes completely formclark also utter waste,0
ham,"Sir, I need AXIS BANK account no and bank address.",sir need axis bank account bank address,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go free abt muz call u discus liao,0
ham,What time you coming down later? ,time coming later,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe forgot surname mr ill give u clue spanish begin,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well im gonna finish bath goodfine night,0
ham,Let me know when you've got the money so carlos can make the call,let know youve got money carlos make call,0
ham,U still going to the mall?,u still going mall,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,0
ham,Text her. If she doesnt reply let me know so i can have her log in,text doesnt reply let know log,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha v wed like know satisfied experience reply toll free yes,0
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lifted hope offer money need especially end month approach hurt studying anyways gr weekend,0
ham,Lol no. U can trust me.,lol u trust,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect,0
ham,"He will, you guys close?",guy close,0
ham,Going on nothing great.bye,going nothing greatbye,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,0
ham,"Haha awesome, be there in a minute",haha awesome minute,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative freephone ampm guaranteed cash prize,1
ham,Have you got Xmas radio times. If not i will get it now,got xmas radio time get,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reached home go bathe first si using net tell u finish k,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find th august,1
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week,0
ham,Hi :)finally i completed the course:),hi finally completed course,0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stay someone able give or every stool,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope youve settled new school year wishin gr day,0
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day,0
ham,Did u got that persons story,u got person story,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet pm orchard mrt,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",found enc ltgt,0
ham,I sent you  &lt;#&gt;  bucks,sent ltgt buck,0
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college txt u finish u love kate xxx,0
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt,0
ham,Goodmorning sleeping ga.,goodmorning sleeping ga,0
ham,U call me alter at 11 ok.,u call alter ok,0
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso cannot oredi lar,0
ham,"Aight yo, dats straight dogg",aight yo dat straight dogg,0
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give u connection today ltdecimalgt refund bill,0
ham,Both :) i shoot big loads so get ready!,shoot big load get ready,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",whats bruv hope great break rewarding semester,0
ham,Home so we can always chat,home always chat,0
ham,K:)k:)good:)study well.,kkgoodstudy well,0
ham,Yup... How Ì_ noe leh...,yup noe leh,0
ham,Sounds great! Are you home now?,sound great home,0
ham,Finally the match heading towards draw as your prediction.,finally match heading towards draw prediction,0
ham,Tired. I haven't slept well the past few nights.,tired havent slept well past night,0
ham,Easy ah?sen got selected means its good..,easy ahsen got selected mean good,0
ham,I have to take exam with march 3,take exam march,0
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure there anyway help let know sure ready,0
ham,Ok no prob. Take ur time.,ok prob take ur time,0
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,o called ubandu run without installing hard diskyou use o copy important file system give repair shop,0
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",new mobile must go txt nokia collect todayfrom optout gbpmtmsg,1
ham,Would really appreciate if you call me. Just need someone to talk to.,would really appreciate call need someone talk,0
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,1
ham,Hey company elama po mudyadhu.,hey company elama po mudyadhu,0
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0
ham,Dear good morning now only i am up,dear good morning,0
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side ltgt street road turn first right,0
ham,Dear we are going to our rubber place,dear going rubber place,0
ham,"Sorry battery died, yeah I'm here",sorry battery died yeah im,0
ham,Yes:)here tv is always available in work place..,yeshere tv always available work place,0
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight penny,1
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,printed oh ltgt come upstairs,0
ham,Or ill be a little closer like at the bus stop on the same street,ill little closer like bus stop street,0
ham,Where are you?when wil you reach here?,youwhen wil reach,0
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument win situation loses person dont argue ur friend kick amp say im always correct,0
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u secret admirer looking make contact ufind rreveal think ur specialcall,1
ham,Tomarrow final hearing on my laptop case so i cant.,tomarrow final hearing laptop case cant,0
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,pleassssssseeeeee tel v avent done sportsx,0
